ComicType,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,APPEARANCES_R,,,
dc,47920,Terrence Long (New Earth),\/wiki\/Terrence_Long_(New_Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Deceased Characters,116,"1981, June",1981,0.1119820829,,,
dc,47808,Ivan Illyich Gort (New Earth),\/wiki\/Ivan_Illyich_Gort_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,19,"1988, January",1988,0.0183418929,,,
dc,47690,Herupa Hando Hu (New Earth),\/wiki\/Herupa_Hando_Hu_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,19,"1960, August",1960,0.0183418929,,,
dc,47507,Helga Jace (New Earth),\/wiki\/Helga_Jace_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Grey Hair,Female Characters,straight,Deceased Characters,42,"1983, August",1983,0.0405452369,,,
dc,47120,Alexander Burgess (New Earth),\/wiki\/Alexander_Burgess_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Red Hair,Male Characters,Homosexual Characters,Living Characters,4,"1989, January",1989,0.0038614511,,,
dc,47056,Adam Blake (New Earth),\/wiki\/Adam_Blake_(New_Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,straight,Living Characters,191,"1951, June",1951,0.1843842916,,,
dc,46744,Olaf Friedriksen (New Earth),\/wiki\/Olaf_Friedriksen_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,14,"1988, April",1988,0.013515079,,,
dc,46511,Robert Castell (New Earth),\/wiki\/Robert_Castell_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,2,"2006, June",2006,0.0019307256,,,
dc,45837,Hans von Hammer (New Earth),\/wiki\/Hans_von_Hammer_(New_Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,106,"1965, February",1965,0.102328455,,,
dc,45635,Bertram Larvan (New Earth),\/wiki\/Bertram_Larvan_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Deceased Characters,11,"1966, September",1966,0.0106189906,,,
dc,44776,Anais Guillot (New Earth),\/wiki\/Anais_Guillot_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Deceased Characters,7,"1959, August",1959,0.0067575395,,,
dc,44679,Myron Mazursky (New Earth),\/wiki\/Myron_Mazursky_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,8,"1988, May",1988,0.0077229023,,,
dc,44555,Jake Simmons (New Earth),\/wiki\/Jake_Simmons_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,18,"1983, May",1983,0.0173765301,,,
dc,44484,Elizabeth Clawman (New Earth),\/wiki\/Elizabeth_Clawman_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,21,"1988, January",1988,0.0202726185,,,
dc,44395,Paul Westfield (New Earth),\/wiki\/Paul_Westfield_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,24,"1991, August",1991,0.0231687068,,,
dc,44273,Miya Shimada (New Earth),\/wiki\/Miya_Shimada_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,46,"1984, May",1984,0.044406688,,,
dc,44198,Koryak (New Earth),\/wiki\/Koryak_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Deceased Characters,50,"1995, January",1995,0.0482681392,,,
dc,44170,Technician (New Earth),\/wiki\/Technician_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,4,"1995, June",1995,0.0038614511,,,
dc,44169,Himon (New Earth),\/wiki\/Himon_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,21,"1972, August",1972,0.0202726185,,,
dc,44095,Paul Gambi (New Earth),\/wiki\/Paul_Gambi_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,13,"1963, December",1963,0.0125497162,,,
dc,43845,Richard Hertz (New Earth),\/wiki\/Richard_Hertz_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Deceased Characters,13,"1986, February",1986,0.0125497162,,,
dc,43227,Larvox (New Earth),\/wiki\/Larvox_(New_Earth),Public Identity,Good Characters,Black Eyes,Orange Hair,Genderless Characters,straight,Living Characters,36,"1961, December",1961,0.0347530602,,,
dc,43008,Crystal Brown (New Earth),\/wiki\/Crystal_Brown_(New_Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,straight,Living Characters,46,"1992, August",1992,0.044406688,,,
dc,43006,Arturo Rodriguez (New Earth),\/wiki\/Arturo_Rodriguez_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,15,"2004, June",2004,0.0144804418,,,
dc,42729,Sendrina (New Earth),\/wiki\/Sendrina_(New_Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Female Characters,straight,Living Characters,5,"2008, February",2008,0.0048268139,,,
dc,42726,Droxelle (New Earth),\/wiki\/Droxelle_(New_Earth),Secret Identity,Good Characters,White Eyes,White Hair,Female Characters,straight,Living Characters,8,"1983, October",1983,0.0077229023,,,
dc,42725,Kaylark (New Earth),\/wiki\/Kaylark_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,5,"1983, July",1983,0.0048268139,,,
dc,42086,Jordan Weir (New Earth),\/wiki\/Jordan_Weir_(New_Earth),Secret Identity,Bad Characters,Hazel Eyes,Grey Hair,Male Characters,straight,Living Characters,10,"1960, August",1960,0.0096536278,,,
dc,41406,Charis (New Earth),\/wiki\/Charis_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,10,"2008, January",2008,0.0096536278,,,
dc,41401,Philomela (New Earth),\/wiki\/Philomela_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,9,"2008, January",2008,0.0086882651,,,
dc,41399,Myrto (New Earth),\/wiki\/Myrto_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,9,"2008, January",2008,0.0086882651,,,
dc,41253,Chroma (New Earth),\/wiki\/Chroma_(New_Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,straight,Deceased Characters,5,"1985, May",1985,0.0048268139,,,
dc,41237,Daniel Hunter (New Earth),\/wiki\/Daniel_Hunter_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,10,"1990, March",1990,0.0096536278,,,
dc,41077,Jack Soo (New Earth),\/wiki\/Jack_Soo_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,13,"1986, August",1986,0.0125497162,,,
dc,40929,Bonnie Baxter (New Earth),\/wiki\/Bonnie_Baxter_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,straight,Living Characters,34,"1990, February",1990,0.0328223346,,,
dc,40916,Corky Baxter (New Earth),\/wiki\/Corky_Baxter_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Deceased Characters,32,"1990, March",1990,0.0308916091,,,
dc,40904,Falseface (New Earth),\/wiki\/Falseface_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,straight,Living Characters,1,"2008, January",2008,0.0009653628,,,
dc,40878,Jeffrey Smith (New Earth),\/wiki\/Jeffrey_Smith_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,35,"1990, February",1990,0.0337876974,,,
dc,40712,Shaggy Man I (New Earth),\/wiki\/Shaggy_Man_I_(New_Earth),Public Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,straight,Living Characters,11,"1966, June",1966,0.0106189906,,,
dc,40601,Judy Walton (New Earth),\/wiki\/Judy_Walton_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,55,"1960, August",1960,0.0530949531,,,
dc,40593,Dane Dorrance (New Earth),\/wiki\/Dane_Dorrance_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,73,"1960, August",1960,0.0704714832,,,
dc,40528,Shaggy Man II (New Earth),\/wiki\/Shaggy_Man_II_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,straight,Living Characters,3,"1966, June",1966,0.0028960884,,,
dc,40193,Fisherman (New Earth),\/wiki\/Fisherman_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,19,"1965, June",1965,0.0183418929,,,
dc,40125,Amanda Spence (New Earth),\/wiki\/Amanda_Spence_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,15,"1996, October",1996,0.0144804418,,,
dc,40081,Thomas Tresser (New Earth),\/wiki\/Thomas_Tresser_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,106,"1980, September",1980,0.102328455,,,
dc,40065,Cody Driscoll (New Earth),\/wiki\/Cody_Driscoll_(New_Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,straight,Living Characters,52,"1996, October",1996,0.0501988647,,,
dc,40056,Ystina (New Earth),\/wiki\/Ystina_(New_Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,straight,Living Characters,13,"2005, May",2005,0.0125497162,,,
dc,39947,Jennifer-Lynn Hayden (New Earth),\/wiki\/Jennifer-Lynn_Hayden_(New_Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,straight,Living Characters,309,"1983, September",1983,0.2982971001,,,
dc,39544,Lor-Zod (New Earth),\/wiki\/Lor-Zod_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,49,"2006, December",2006,0.0473027764,,,
dc,39459,"Henry King, Jr. (New Earth)","\/wiki\/Henry_King,_Jr._(New_Earth)",Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,straight,Living Characters,92,"1983, August",1983,0.0888133761,,,
dc,39362,James Corrigan (Earth-One),\/wiki\/James_Corrigan_(Earth-One),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,6,"1972, May",1972,0.0057921767,,,
dc,39352,James Corrigan II (New Earth),\/wiki\/James_Corrigan_II_(New_Earth),Public Identity,Bad Characters,Green Eyes,Red Hair,Male Characters,straight,Deceased Characters,12,"2003, December",2003,0.0115843534,,,
dc,39328,Frederick Storm (New Earth),\/wiki\/Frederick_Storm_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,3,"1964, December",1964,0.0028960884,,,
dc,39182,Suzanne King-Jones (New Earth),\/wiki\/Suzanne_King-Jones_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,86,"1997, August",1997,0.0830211994,,,
dc,38844,Martha Kane (New Earth),\/wiki\/Martha_Kane_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Deceased Characters,113,"1987, February",1987,0.1090859945,,,
dc,38810,Amina Franklin (New Earth),\/wiki\/Amina_Franklin_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,4,"2007, January",2007,0.0038614511,,,
dc,38764,Damian Wayne (Prime Earth),\/wiki\/Damian_Wayne_(Prime_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,216,"1987, September",1987,0.2085183612,,,
dc,38147,Ace the Bat-Hound (New Earth),\/wiki\/Ace_the_Bat-Hound_(New_Earth),Secret Identity,Good Characters,Black Eyes,Brown Hair,Male Characters,straight,Living Characters,14,"1991, May",1991,0.013515079,,,
dc,37978,Ashok Desai (New Earth),\/wiki\/Ashok_Desai_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Deceased Characters,4,"1987, October",1987,0.0038614511,,,
dc,37941,Matthew Ryan (New Earth),\/wiki\/Matthew_Ryan_(New_Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,131,"1957, February",1957,0.1264625246,,,
dc,37934,Walter Haley (New Earth),\/wiki\/Walter_Haley_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,129,"1957, February",1957,0.1245317991,,,
dc,37725,Richard Wilson (New Earth),\/wiki\/Richard_Wilson_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,6,"1970, November",1970,0.0057921767,,,
dc,37696,Helena Bertinelli (New Earth),\/wiki\/Helena_Bertinelli_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,393,"1989, April",1989,0.3793875739,,,
dc,37670,Augustus Freeman (Dakotaverse),\/wiki\/Augustus_Freeman_(Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,34,"1993, May",1993,0.0328223346,,,
dc,37560,Tooley Wilson (New Earth),\/wiki\/Tooley_Wilson_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,3,"1991, March",1991,0.0028960884,,,
dc,37487,Raza Kattuah (New Earth),\/wiki\/Raza_Kattuah_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Deceased Characters,9,"1987, May",1987,0.0086882651,,,
dc,37288,Simon Dark (New Earth),\/wiki\/Simon_Dark_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,12,"2007, December",2007,0.0115843534,,,
dc,37008,Thomas Curry (New Earth),\/wiki\/Thomas_Curry_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,18,"1959, May",1959,0.0173765301,,,
dc,36217,Phillip Lorens (New Earth),\/wiki\/Phillip_Lorens_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,7,"2007, January",2007,0.0067575395,,,
dc,36190,Ryan Diaz (New Earth),\/wiki\/Ryan_Diaz_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,7,"2006, December",2006,0.0067575395,,,
dc,35885,"Rex, the Wonder Dog (New Earth)","\/wiki\/Rex,_the_Wonder_Dog_(New_Earth)",Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,83,"1952, February",1952,0.080125111,,,
dc,35591,Cythonna (New Earth),\/wiki\/Cythonna_(New_Earth),Public Identity,Bad Characters,White Eyes,White Hair,Female Characters,straight,Living Characters,1,1999,1999,0.0009653628,,,
dc,35585,Vera Lynn Black (New Earth),\/wiki\/Vera_Lynn_Black_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,14,"2004, August",2004,0.013515079,,,
dc,35472,Steven Trevor (New Earth),\/wiki\/Steven_Trevor_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,72,"1941, December",1941,0.0695061204,,,
dc,35327,Sodam Yat (New Earth),\/wiki\/Sodam_Yat_(New_Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,straight,Living Characters,50,1986,1986,0.0482681392,,,
dc,34741,Sherlock Holmes (New Earth),\/wiki\/Sherlock_Holmes_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,7,"1946, December",1946,0.0067575395,,,
dc,34558,Chaser Bron (New Earth),\/wiki\/Chaser_Bron_(New_Earth),Secret Identity,Good Characters,Yellow Eyes,Grey Hair,Male Characters,straight,Deceased Characters,15,"1993, July",1993,0.0144804418,,,
dc,34212,Teekl (New Earth),\/wiki\/Teekl_(New_Earth),Public Identity,Neutral Characters,Red Eyes,Orange Hair,Male Characters,straight,Living Characters,43,"1973, March",1973,0.0415105997,,,
dc,33255,Mister Mxyzptlk (New Earth),\/wiki\/Mister_Mxyzptlk_(New_Earth),Secret Identity,Neutral Characters,Black Eyes,White Hair,Male Characters,straight,Living Characters,64,"1987, November",1987,0.0617832181,,,
dc,32821,Bizarro Doomsday (New Earth),\/wiki\/Bizarro_Doomsday_(New_Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,2,"2007, November",2007,0.0019307256,,,
dc,32739,Kyle Morgan (New Earth),\/wiki\/Kyle_Morgan_(New_Earth),Public Identity,Good Characters,Brown Eyes,Blond Hair,Male Characters,straight,Living Characters,131,"1957, February",1957,0.1264625246,,,
dc,31968,K.P. Watson (New Earth),\/wiki\/K.P._Watson_(New_Earth),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,straight,Living Characters,11,"1986, January",1986,0.0106189906,,,
dc,31787,Charles Taine (Pre-Zero Hour),\/wiki\/Charles_Taine_(Pre-Zero_Hour),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,158,"1961, May",1961,0.1525273198,,,
dc,31666,Cheyenne Freemont (New Earth),\/wiki\/Cheyenne_Freemont_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,straight,Living Characters,7,"2006, May",2006,0.0067575395,,,
dc,31603,"Peter Merkel, Jr. (New Earth)","\/wiki\/Peter_Merkel,_Jr._(New_Earth)",Secret Identity,Bad Characters,Grey Eyes,Red Hair,Male Characters,straight,Living Characters,72,"2005, July",2005,0.0695061204,,,
dc,31568,Bizarro Lois Lane (New Earth),\/wiki\/Bizarro_Lois_Lane_(New_Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Female Characters,straight,Living Characters,8,"2007, October",2007,0.0077229023,,,
dc,31476,Patrick Noonan (New Earth),\/wiki\/Patrick_Noonan_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,10,1993,1993,0.0096536278,,,
dc,31216,I-Ching (New Earth),\/wiki\/I-Ching_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,10,"2006, September",2006,0.0096536278,,,
dc,31158,Bromwell Stikk (New Earth),\/wiki\/Bromwell_Stikk_(New_Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,13,"1964, July",1964,0.0125497162,,,
dc,30544,Alexandra DeWitt (New Earth),\/wiki\/Alexandra_DeWitt_(New_Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,straight,Deceased Characters,19,"1994, January",1994,0.0183418929,,,
dc,30211,Jason Praxis (New Earth),\/wiki\/Jason_Praxis_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,12,"1989, February",1989,0.0115843534,,,
dc,30097,Kent V. Nelson (New Earth),\/wiki\/Kent_V._Nelson_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Blond Hair,Male Characters,straight,Living Characters,64,"2007, November",2007,0.0617832181,,,
dc,30016,Frederick Danvers (New Earth),\/wiki\/Frederick_Danvers_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,5,"1996, September",1996,0.0048268139,,,
dc,29200,William Kavanagh (New Earth),\/wiki\/William_Kavanagh_(New_Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,straight,Deceased Characters,8,"1993, November",1993,0.0077229023,,,
dc,29043,Isuma Yasunari (New Earth),\/wiki\/Isuma_Yasunari_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Deceased Characters,33,"1982, June",1982,0.0318569719,,,
dc,28395,Gemma Masters (New Earth),\/wiki\/Gemma_Masters_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,7,"1988, April",1988,0.0067575395,,,
dc,28376,Shadrack Hightower (New Earth),\/wiki\/Shadrack_Hightower_(New_Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,straight,Deceased Characters,4,"1988, March",1988,0.0038614511,,,
dc,28373,Stanislaus Drozdowski (New Earth),\/wiki\/Stanislaus_Drozdowski_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,4,"1988, March",1988,0.0038614511,,,
dc,28342,Steven Hazard (New Earth),\/wiki\/Steven_Hazard_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,8,"2007, October",2007,0.0077229023,,,
dc,28334,Aleea Strange (New Earth),\/wiki\/Aleea_Strange_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,38,"1990, May",1990,0.0366837858,,,
dc,28262,Death Mayhew (New Earth),\/wiki\/Death_Mayhew_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,4,"1988, March",1988,0.0038614511,,,
dc,28168,Syonide II (New Earth),\/wiki\/Syonide_II_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,Homosexual Characters,Deceased Characters,12,"1985, March",1985,0.0115843534,,,
dc,27905,Jai West (New Earth),\/wiki\/Jai_West_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,40,"2005, October",2005,0.0386145113,,,
dc,27904,Iris West II (New Earth),\/wiki\/Iris_West_II_(New_Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,straight,Living Characters,43,"1999, March",1999,0.0415105997,,,
dc,27852,Charlotte Gage-Radcliffe (New Earth),\/wiki\/Charlotte_Gage-Radcliffe_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,straight,Living Characters,36,"2006, September",2006,0.0347530602,,,
dc,27819,Mist I (New Earth),\/wiki\/Mist_I_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,straight,Deceased Characters,45,"1941, October",1941,0.0434413253,,,
dc,27561,Whiteout (New Earth),\/wiki\/Whiteout_(New_Earth),Secret Identity,Bad Characters,White Eyes,White Hair,Male Characters,straight,Living Characters,5,"1986, June",1986,0.0048268139,,,
dc,27355,Janu (New Earth),\/wiki\/Janu_(New_Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Male Characters,straight,Living Characters,42,"1954, April",1954,0.0405452369,,,
dc,27094,Hackett (New Earth),\/wiki\/Hackett_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,5,"2007, September",2007,0.0048268139,,,
dc,27052,Lyssa Drak (New Earth),\/wiki\/Lyssa_Drak_(New_Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Female Characters,straight,Living Characters,27,"2007, May",2007,0.0260647952,,,
dc,26747,Rama Kushna (New Earth),\/wiki\/Rama_Kushna_(New_Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Female Characters,straight,Living Characters,42,"1967, October",1967,0.0405452369,,,
dc,25942,"Arthur Curry, Jr. (New Earth)","\/wiki\/Arthur_Curry,_Jr._(New_Earth)",Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,54,"1965, October",1965,0.0521295903,,,
dc,25724,Grayven (New Earth),\/wiki\/Grayven_(New_Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,straight,Deceased Characters,16,"1996, June",1996,0.0154458045,,,
dc,24307,Dev-Em (New Earth),\/wiki\/Dev-Em_(New_Earth),Public Identity,Bad Characters,Green Eyes,Purple Hair,Male Characters,straight,Living Characters,2,"2007, August",2007,0.0019307256,,,
dc,24301,Jonathan Kent (New Earth),\/wiki\/Jonathan_Kent_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Deceased Characters,254,"1986, October",1986,0.245202147,,,
dc,24256,Albert Davis (New Earth),\/wiki\/Albert_Davis_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,6,"2004, April",2004,0.0057921767,,,
dc,24162,Steven Dayton (New Earth),\/wiki\/Steven_Dayton_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,140,"1964, November",1964,0.1351507897,,,
dc,23988,John Corben (New Earth),\/wiki\/John_Corben_(New_Earth),Secret Identity,Bad Characters,Photocellular Eyes,Brown Hair,Male Characters,straight,Living Characters,80,"1987, January",1987,0.0772290227,,,
dc,23834,Karu-Sil (New Earth),\/wiki\/Karu-Sil_(New_Earth),Public Identity,Bad Characters,Black Eyes,Brown Hair,Female Characters,straight,Living Characters,23,"2007, June",2007,0.022203344,,,
dc,23733,Sayd (New Earth),\/wiki\/Sayd_(New_Earth),Public Identity,Good Characters,Green Eyes,White Hair,Female Characters,straight,Living Characters,41,"2007, August",2007,0.0395798741,,,
dc,23415,Elizabeth Thorne (New Earth),\/wiki\/Elizabeth_Thorne_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,27,"1987, September",1987,0.0260647952,,,
dc,23391,James Olsen (New Earth),\/wiki\/James_Olsen_(New_Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Male Characters,straight,Living Characters,557,"1986, October",1986,0.5377070703,,,
dc,23387,Superman (Clark Kent),\/wiki\/Superman_(Clark_Kent),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,2496,"1986, October",1986,2.4095455072,,,
dc,23383,Lois Lane (New Earth),\/wiki\/Lois_Lane_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,934,"1938, June",1938,0.9016488396,,,
dc,23113,Rumaan Harjavti (New Earth),\/wiki\/Rumaan_Harjavti_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Deceased Characters,7,"1987, June",1987,0.0067575395,,,
dc,22705,Frederick Freeman (New Earth),\/wiki\/Frederick_Freeman_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,125,"1995, May",1995,0.1206703479,,,
dc,22607,Darwin Jones (New Earth),\/wiki\/Darwin_Jones_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,9,"1950, September",1950,0.0086882651,,,
dc,22427,Marleah (New Earth),\/wiki\/Marleah_(New_Earth),Public Identity,Bad Characters,Grey Eyes,Brown Hair,Female Characters,straight,Living Characters,2,"1990, March",1990,0.0019307256,,,
dc,22308,Boka (New Earth),\/wiki\/Boka_(New_Earth),Public Identity,Good Characters,Hazel Eyes,Black Hair,Female Characters,straight,Living Characters,1,"1962, March",1962,0.0009653628,,,
dc,22057,Nuidis Vulko (New Earth),\/wiki\/Nuidis_Vulko_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,140,"1967, September",1967,0.1351507897,,,
dc,21653,Hu Wei (New Earth),\/wiki\/Hu_Wei_(New_Earth),Secret Identity,Bad Characters,White Eyes,White Hair,Male Characters,straight,Deceased Characters,3,"2006, December",2006,0.0028960884,,,
